_key,id,price,bedrooms,bathrooms,area/m2,area/sq_ft,predictions/human/0,predictions/human/1,predictions/ai/0,predictions/ai/1,rationales/human/0,rationales/ai/0,rationales/human_rationale,rationales/ai_rationale,quality_ai,responses/ai/0,responses/human/0,responses/verdict
33_15,33,365000,3,2.0,167,1802,300000,400000,400000,500000,False,False,,,0,2,2,1
33_16,33,365000,3,2.0,167,1802,300000,400000,400000,500000,False,False,,,0,3,3,2
33_17,33,365000,3,2.0,167,1802,300000,400000,400000,500000,False,False,,,0,4,5,1
33_18,33,365000,3,2.0,167,1802,300000,400000,400000,500000,False,False,,,0,1,1,2
33_19,33,365000,3,2.0,167,1802,300000,400000,400000,500000,False,False,,,0,1,1,2
34_4,34,1695000,3,3.5,267,2873,400000,500000,500000,700000,False,False,,,1,2,2,2
34_5,34,1695000,3,3.5,267,2873,400000,500000,500000,700000,False,False,,,1,3,2,0
34_6,34,1695000,3,3.5,267,2873,400000,500000,500000,700000,False,False,,,1,3,3,2
34_12,34,1695000,3,3.5,267,2873,400000,500000,500000,700000,False,False,,,1,2,2,2
34_13,34,1695000,3,3.5,267,2873,400000,500000,500000,700000,False,False,,,1,2,2,2
35_1,35,999000,4,4.0,303,3260,800000,900000,500000,700000,False,False,,,1,3,5,1
35_5,35,999000,4,4.0,303,3260,800000,900000,500000,700000,False,False,,,1,3,3,2
35_19,35,999000,4,4.0,303,3260,600000,700000,500000,700000,False,False,,,1,1,1,2
35_21,35,999000,4,4.0,303,3260,600000,700000,500000,700000,False,False,,,1,1,1,2
36_1,36,1294000,3,4.5,362,3893,1000000,1250000,700000,800000,False,False,,,1,3,4,1
36_3,36,1294000,3,4.5,362,3893,1000000,1250000,700000,800000,False,False,,,1,4,4,2
36_4,36,1294000,3,4.5,362,3893,1000000,1250000,700000,800000,False,False,,,1,2,2,2
36_16,36,1294000,3,4.5,362,3893,700000,800000,700000,800000,False,False,,,1,2,2,2
36_18,36,1294000,3,4.5,362,3893,1000000,1250000,700000,800000,False,False,,,1,1,1,2
36_19,36,1294000,3,4.5,362,3893,1000000,1250000,700000,800000,False,False,,,1,2,2,2
36_21,36,1294000,3,4.5,362,3893,700000,800000,700000,800000,False,False,,,1,1,1,2
36_22,36,1294000,3,4.5,362,3893,700000,800000,700000,800000,False,False,,,1,3,2,2
36_34,36,1294000,3,4.5,362,3893,700000,800000,700000,800000,False,False,,,1,5,5,2
36_35,36,1294000,3,4.5,362,3893,1000000,1250000,700000,800000,False,False,,,1,4,2,0
36_40,36,1294000,3,4.5,362,3893,1000000,1250000,700000,800000,False,False,,,1,3,3,2
36_41,36,1294000,3,4.5,362,3893,1000000,1250000,700000,800000,False,False,,,1,1,1,2
37_6,37,1089000,5,5.5,365,3932,1250000,1500000,500000,600000,False,False,,,1,2,3,1
37_7,37,1089000,5,5.5,365,3932,800000,900000,500000,600000,False,False,,,1,3,5,1
37_9,37,1089000,5,5.5,365,3932,800000,900000,500000,600000,False,False,,,1,1,1,2
37_11,37,1089000,5,5.5,365,3932,800000,900000,500000,600000,False,False,,,1,3,3,2
37_13,37,1089000,5,5.5,365,3932,1250000,1500000,500000,600000,False,False,,,1,3,5,1
37_25,37,1089000,5,5.5,365,3932,1250000,1500000,500000,600000,False,False,,,1,1,1,2
37_32,37,1089000,5,5.5,365,3932,1250000,1500000,500000,600000,False,False,,,1,2,2,2
37_35,37,1089000,5,5.5,365,3932,800000,900000,500000,600000,False,False,,,1,1,1,2
37_36,37,1089000,5,5.5,365,3932,800000,900000,500000,600000,False,False,,,1,3,3,0
37_37,37,1089000,5,5.5,365,3932,800000,900000,500000,600000,False,False,,,1,2,4,1
37_39,37,1089000,5,5.5,365,3932,800000,900000,500000,600000,False,False,,,1,3,4,1
38_2,38,799900,3,3.5,259,2792,700000,800000,450000,550000,False,False,,,0,1,1,2
38_12,38,799900,3,3.5,259,2792,700000,800000,450000,550000,False,False,,,0,4,3,0
38_13,38,799900,3,3.5,259,2792,700000,800000,450000,550000,False,False,,,0,2,4,1
39_5,39,1229000,3,4.5,393,4228,700000,800000,500000,600000,False,False,,,1,3,5,1
39_7,39,1229000,3,4.5,393,4228,800000,900000,500000,600000,False,False,,,1,1,1,2
39_11,39,1229000,3,4.5,393,4228,700000,800000,500000,600000,False,False,,,1,1,1,2
39_17,39,1229000,3,4.5,393,4228,700000,800000,500000,600000,False,False,,,1,2,5,1
39_27,39,1229000,3,4.5,393,4228,800000,900000,500000,600000,False,False,,,1,3,5,1
40_11,40,455000,3,3.0,199,2146,200000,300000,500000,600000,False,False,,,0,1,1,2
40_14,40,455000,3,3.0,199,2146,200000,300000,500000,600000,False,False,,,0,3,4,1
40_22,40,455000,3,3.0,199,2146,300000,400000,500000,600000,False,False,,,0,4,2,2
40_26,40,455000,3,3.0,199,2146,300000,400000,500000,600000,False,False,,,0,1,1,2
40_27,40,455000,3,3.0,199,2146,300000,400000,500000,600000,False,False,,,0,1,5,1
40_28,40,455000,3,3.0,199,2146,300000,400000,500000,600000,False,False,,,0,1,1,2
40_30,40,455000,3,3.0,199,2146,400000,500000,500000,600000,False,False,,,0,2,2,2
40_31,40,455000,3,3.0,199,2146,400000,500000,500000,600000,False,False,,,0,1,1,2
40_33,40,455000,3,3.0,199,2146,400000,500000,500000,600000,False,False,,,0,5,3,0
40_36,40,455000,3,3.0,199,2146,400000,500000,500000,600000,False,False,,,0,3,3,2
45_8,45,350000,4,2.0,179,1928,300000,400000,250000,350000,False,False,,,1,1,1,2
45_21,45,350000,4,2.0,179,1928,300000,400000,250000,350000,False,False,,,1,1,1,2
45_22,45,350000,4,2.0,179,1928,300000,400000,250000,350000,False,False,,,1,5,4,0
45_24,45,350000,4,2.0,179,1928,500000,600000,250000,350000,False,False,,,1,1,1,2
45_25,45,350000,4,2.0,179,1928,500000,600000,250000,350000,False,False,,,1,1,1,2
45_26,45,350000,4,2.0,179,1928,500000,600000,250000,350000,False,False,,,1,3,3,2
46_8,46,425000,3,3.0,198,2134,400000,500000,200000,300000,False,False,,,1,2,2,2
46_10,46,425000,3,3.0,198,2134,400000,500000,200000,300000,False,False,,,1,4,3,0
47_3,47,500000,4,3.0,233,2504,600000,700000,250000,350000,False,False,,,0,4,4,1
47_4,47,500000,4,3.0,233,2504,600000,700000,250000,350000,False,False,,,0,1,1,2
47_7,47,500000,4,3.0,233,2504,400000,500000,250000,350000,False,False,,,0,1,1,0
47_19,47,500000,4,3.0,233,2504,500000,600000,250000,350000,False,False,,,0,3,3,2
47_32,47,500000,4,3.0,233,2504,500000,600000,250000,350000,False,False,,,0,2,1,2
47_33,47,500000,4,3.0,233,2504,500000,600000,250000,350000,False,False,,,0,1,2,0
47_35,47,500000,4,3.0,233,2504,500000,600000,250000,350000,False,False,,,0,4,3,0
47_39,47,500000,4,3.0,233,2504,400000,500000,250000,350000,False,False,,,0,1,1,2
48_4,48,589900,3,3.0,229,2462,800000,900000,200000,300000,False,False,,,1,4,2,0
48_9,48,589900,3,3.0,229,2462,900000,1000000,200000,300000,False,False,,,1,1,1,2
48_13,48,589900,3,3.0,229,2462,600000,700000,200000,300000,False,False,,,1,2,2,2
48_16,48,589900,3,3.0,229,2462,600000,700000,200000,300000,False,False,,,1,1,1,2
48_21,48,589900,3,3.0,229,2462,800000,900000,200000,300000,False,False,,,1,1,1,2
48_23,48,589900,3,3.0,229,2462,800000,900000,200000,300000,False,False,,,1,1,1,2
48_25,48,589900,3,3.0,229,2462,800000,900000,200000,300000,False,False,,,1,5,1,0
48_27,48,589900,3,3.0,229,2462,800000,900000,200000,300000,False,False,,,1,3,3,2
48_31,48,589900,3,3.0,229,2462,900000,1000000,200000,300000,False,False,,,1,1,1,2
48_32,48,589900,3,3.0,229,2462,600000,700000,200000,300000,False,False,,,1,1,1,2
48_33,48,589900,3,3.0,229,2462,600000,700000,200000,300000,False,False,,,1,1,4,1
49_6,49,419000,4,3.0,363,3904,200000,300000,250000,350000,False,False,,,0,2,1,0
49_12,49,419000,4,3.0,363,3904,200000,300000,250000,350000,False,False,,,0,1,1,2
49_13,49,419000,4,3.0,363,3904,200000,300000,250000,350000,False,False,,,0,2,2,2
49_14,49,419000,4,3.0,363,3904,200000,300000,250000,350000,False,False,,,0,2,3,2
49_15,49,419000,4,3.0,363,3904,200000,300000,250000,350000,False,False,,,0,4,4,0
50_17,50,415000,3,2.0,189,2034,500000,600000,200000,300000,False,False,,,1,3,4,1
50_18,50,415000,3,2.0,189,2034,500000,600000,200000,300000,False,False,,,1,2,2,2
